# Portfolio Backtesting CSV Output
# Generated by PortfolioManager for user 1000
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   position: Net position (positive=long, negative=short, 0=flat)
#   current_price: Latest market price in dollars (converted from ticks)
#   cost: Cost basis per unit in dollars
#   unrealized_pnl: Mark-to-market P&L for current position in dollars
#   realized_pnl: Cumulative realized P&L from closed trades in dollars
#   total_pnl: Total P&L (realized + unrealized) in dollars
#   total_trades: Number of trade executions involving tracked orders
#   position_value: Current market value of position in dollars

timestamp,position,current_price,average_cost,unrealized_pnl,realized_pnl,total_pnl,total_trades,position_value
2024-06-28T15:30:00.304489060Z,50,5558.31,5558.39,-3.92,-0.49,-4.41,46,277915.50,
2024-06-28T15:30:00.304489060Z,49,5558.31,5558.39,-3.84,-0.57,-4.41,47,272357.19,
2024-06-28T15:30:00.304489060Z,48,5558.31,5558.39,-3.76,-0.65,-4.41,48,266798.88,
2024-06-28T15:30:00.504172117Z,47,5558.31,5558.39,-3.69,-0.72,-4.41,49,261240.57,
2024-06-28T15:30:00.504860342Z,46,5558.31,5558.39,-3.61,-0.80,-4.41,50,255682.26,
2024-06-28T15:30:00.504955126Z,45,5558.31,5558.39,-3.53,-0.88,-4.41,51,250123.95,
2024-06-28T15:30:00.504963697Z,43,5558.30,5558.39,-3.80,-1.06,-4.86,52,239006.90,
2024-06-28T15:30:00.504968996Z,39,5558.30,5558.39,-3.45,-1.41,-4.86,53,216773.70,
2024-06-28T15:30:00.504987192Z,38,5558.29,5558.39,-3.74,-1.51,-5.25,54,211215.02,
2024-06-28T15:30:00.504992291Z,37,5558.29,5558.39,-3.64,-1.61,-5.25,55,205656.73,
2024-06-28T15:30:00.505065531Z,36,5558.29,5558.39,-3.54,-1.71,-5.25,56,200098.44,
2024-06-28T15:30:00.505073415Z,35,5558.29,5558.39,-3.44,-1.81,-5.25,57,194540.15,
2024-06-28T15:30:00.505087034Z,34,5558.29,5558.39,-3.35,-1.90,-5.25,58,188981.86,
2024-06-28T15:30:00.505105210Z,33,5558.29,5558.39,-3.25,-2.00,-5.25,59,183423.57,
2024-06-28T15:30:00.505173749Z,32,5558.28,5558.39,-3.47,-2.11,-5.58,60,177864.96,
2024-06-28T15:30:00.505184516Z,29,5558.28,5558.39,-3.14,-2.44,-5.58,61,161190.12,
2024-06-28T15:30:00.505199061Z,28,5558.28,5558.39,-3.04,-2.54,-5.58,62,155631.84,
2024-06-28T15:30:00.505224993Z,27,5558.28,5558.39,-2.93,-2.65,-5.58,63,150073.56,
2024-06-28T15:30:00.505231598Z,22,5558.27,5558.39,-2.61,-3.24,-5.85,64,122281.94,
2024-06-28T15:30:00.505830896Z,21,5558.26,5558.39,-2.70,-3.37,-6.07,65,116723.46,
2024-06-28T15:30:00.515765302Z,19,5558.26,5558.39,-2.44,-3.63,-6.07,66,105606.94,
2024-06-28T15:30:00.968684180Z,20,5557.59,5558.35,-15.17,-3.63,-18.80,67,111151.80,
2024-06-28T15:30:00.968699406Z,21,5557.58,5558.31,-15.37,-3.63,-19.00,68,116709.18,
2024-06-28T15:30:00.968711008Z,24,5557.57,5558.22,-15.58,-3.63,-19.21,69,133381.68,
2024-06-28T15:30:00.968783582Z,25,5557.56,5558.19,-15.82,-3.63,-19.45,70,138939.00,
2024-06-28T15:30:00.968793668Z,26,5557.55,5558.17,-16.07,-3.63,-19.70,71,144496.30,
2024-06-28T15:30:00.968861051Z,28,5557.54,5558.12,-16.33,-3.63,-19.96,72,155611.12,
2024-06-28T15:30:00.968867727Z,31,5557.53,5558.07,-16.61,-3.63,-20.24,73,172283.43,
2024-06-28T15:30:00.968873185Z,33,5557.54,5558.03,-16.30,-3.63,-19.93,74,183398.82,
2024-06-28T15:30:00.968891683Z,34,5557.55,5558.02,-15.97,-3.63,-19.60,75,188956.70,
2024-06-28T15:30:00.968909052Z,35,5557.55,5558.01,-15.97,-3.63,-19.60,76,194514.25,
2024-06-28T15:30:00.968972377Z,36,5557.55,5557.99,-15.97,-3.63,-19.60,77,200071.80,
2024-06-28T15:30:00.968982181Z,37,5557.55,5557.98,-15.97,-3.63,-19.60,78,205629.35,
2024-06-28T15:30:00.968982181Z,41,5557.56,5557.94,-15.60,-3.63,-19.23,79,227859.96,
2024-06-28T15:30:00.968995160Z,43,5557.57,5557.92,-15.19,-3.63,-18.82,80,238975.51,
2024-06-28T15:30:00.969000177Z,44,5557.57,5557.92,-15.19,-3.63,-18.82,81,244533.08,
2024-06-28T15:30:00.969000177Z,45,5557.58,5557.91,-14.75,-3.63,-18.38,82,250091.10,
2024-06-28T15:30:00.969011979Z,46,5557.58,5557.90,-14.75,-3.63,-18.38,83,255648.68,
2024-06-28T15:30:00.969048944Z,48,5557.58,5557.89,-14.75,-3.63,-18.38,84,266763.84,
2024-06-28T15:30:00.969055200Z,49,5557.58,5557.88,-14.75,-3.63,-18.38,85,272321.42,
2024-06-28T15:30:00.969055200Z,54,5557.59,5557.85,-14.26,-3.63,-17.89,86,300109.86,
2024-06-28T15:30:00.969055200Z,60,5557.60,5557.83,-13.72,-3.63,-17.35,87,333456.00,
2024-06-28T15:30:00.969063618Z,63,5557.61,5557.82,-13.12,-3.63,-16.75,88,350129.43,
2024-06-28T15:30:00.969281467Z,66,5557.61,5557.81,-13.12,-3.63,-16.75,89,366802.26,
2024-06-28T15:30:00.969281467Z,68,5557.62,5557.80,-12.46,-3.63,-16.09,90,377918.16,
2024-06-28T15:30:00.969281467Z,69,5557.62,5557.80,-12.46,-3.63,-16.09,91,383475.78,
2024-06-28T15:30:00.969281467Z,70,5557.62,5557.80,-12.46,-3.63,-16.09,92,389033.40,
2024-06-28T15:30:00.969281467Z,72,5557.62,5557.79,-12.46,-3.63,-16.09,93,400148.64,
2024-06-28T15:30:00.969285113Z,73,5557.63,5557.79,-11.74,-3.63,-15.37,94,405706.99,
2024-06-28T15:30:00.969386715Z,78,5557.63,5557.78,-11.74,-3.63,-15.37,95,433495.14,
2024-06-28T15:30:00.969418198Z,79,5557.64,5557.78,-10.96,-3.63,-14.59,96,439053.56,
2024-06-28T15:30:00.969515741Z,83,5557.64,5557.77,-10.96,-3.63,-14.59,97,461284.12,
2024-06-28T15:30:00.969530978Z,84,5557.64,5557.77,-10.96,-3.63,-14.59,98,466841.76,
2024-06-28T15:30:00.969530978Z,86,5557.65,5557.77,-10.12,-3.63,-13.75,99,477957.90,
2024-06-28T15:30:00.972320808Z,87,5557.65,5557.77,-10.12,-3.63,-13.75,100,483515.55,
2024-06-28T15:30:00.972420517Z,88,5557.65,5557.77,-10.12,-3.63,-13.75,101,489073.20,
2024-06-28T15:30:01.005602076Z,89,5557.65,5557.76,-10.12,-3.63,-13.75,102,494630.85,
2024-06-28T15:30:01.005690056Z,90,5557.65,5557.76,-10.12,-3.63,-13.75,103,500188.50,
2024-06-28T15:30:01.005831021Z,91,5557.66,5557.76,-9.22,-3.63,-12.85,104,505747.06,
2024-06-28T15:30:01.005918704Z,92,5557.66,5557.76,-9.22,-3.63,-12.85,105,511304.72,
2024-06-28T15:30:01.005952494Z,93,5557.66,5557.76,-9.22,-3.63,-12.85,106,516862.38,
2024-06-28T15:30:01.005964014Z,96,5557.66,5557.76,-9.22,-3.63,-12.85,107,533535.36,
2024-06-28T15:30:01.005969364Z,97,5557.67,5557.76,-8.26,-3.63,-11.89,108,539093.99,
2024-06-28T15:30:01.006045978Z,98,5557.67,5557.75,-8.26,-3.63,-11.89,109,544651.66,
2024-06-28T15:30:01.006423608Z,99,5557.67,5557.75,-8.26,-3.63,-11.89,110,550209.33,
2024-06-28T15:30:01.006432644Z,100,5557.67,5557.75,-8.26,-3.63,-11.89,111,555767.00,
2024-06-28T15:30:01.006514567Z,101,5557.67,5557.75,-8.26,-3.63,-11.89,112,561324.67,
2024-06-28T15:30:01.006603089Z,102,5557.67,5557.75,-8.26,-3.63,-11.89,113,566882.34,
2024-06-28T15:30:01.162733106Z,107,5557.68,5557.75,-7.24,-3.63,-10.87,114,594671.76,
2024-06-28T15:30:01.163106660Z,108,5557.68,5557.75,-7.24,-3.63,-10.87,115,600229.44,
2024-06-28T15:30:01.163106660Z,111,5557.69,5557.75,-6.16,-3.63,-9.79,116,616903.59,
2024-06-28T15:30:01.163113301Z,114,5557.69,5557.74,-6.16,-3.63,-9.79,117,633576.66,
2024-06-28T15:30:01.163369651Z,115,5557.70,5557.74,-5.02,-3.63,-8.65,118,639135.50,
2024-06-28T15:30:01.299618064Z,120,5557.70,5557.74,-5.02,-3.63,-8.65,119,666924.00,
2024-06-28T15:30:01.299739045Z,124,5557.71,5557.74,-3.82,-3.63,-7.45,120,689156.04,
2024-06-28T15:30:01.299750514Z,126,5557.71,5557.74,-3.82,-3.63,-7.45,121,700271.46,
2024-06-28T15:30:01.299750514Z,127,5557.72,5557.74,-2.56,-3.63,-6.19,122,705830.44,
2024-06-28T15:30:01.306364170Z,128,5557.72,5557.74,-2.56,-3.63,-6.19,123,711388.16,
2024-06-28T15:30:01.613005850Z,129,5557.72,5557.74,-2.56,-3.63,-6.19,124,716945.88,
2024-06-28T15:30:01.636949631Z,130,5557.72,5557.74,-2.56,-3.63,-6.19,125,722503.60,
2024-06-28T15:30:01.846435374Z,131,5557.72,5557.74,-2.56,-3.63,-6.19,126,728061.32,
2024-06-28T15:30:02.126426699Z,132,5557.72,5557.74,-2.56,-3.63,-6.19,127,733619.04,
2024-06-28T15:30:02.126426699Z,133,5557.73,5557.74,-1.24,-3.63,-4.87,128,739178.09,
2024-06-28T15:30:02.126435807Z,135,5557.73,5557.74,-1.24,-3.63,-4.87,129,750293.55,
2024-06-28T15:30:02.126444721Z,136,5557.73,5557.74,-1.24,-3.63,-4.87,130,755851.28,
2024-06-28T15:30:02.126562964Z,137,5557.73,5557.74,-1.24,-3.63,-4.87,131,761409.01,
2024-06-28T15:30:02.126568647Z,138,5557.73,5557.74,-1.24,-3.63,-4.87,132,766966.74,
2024-06-28T15:30:02.126673297Z,139,5557.74,5557.74,0.14,-3.63,-3.49,133,772525.86,
2024-06-28T15:30:02.127027247Z,140,5557.74,5557.74,0.14,-3.63,-3.49,134,778083.60,
2024-06-28T15:30:02.127411446Z,141,5557.74,5557.74,0.14,-3.63,-3.49,135,783641.34,
2024-06-28T15:30:02.127611735Z,142,5557.74,5557.74,0.14,-3.63,-3.49,136,789199.08,
2024-06-28T15:30:02.127707204Z,143,5557.74,5557.74,0.14,-3.63,-3.49,137,794756.82,
2024-06-28T15:30:02.127718443Z,144,5557.74,5557.74,0.14,-3.63,-3.49,138,800314.56,
2024-06-28T15:30:02.127731268Z,145,5557.75,5557.74,1.58,-3.63,-2.05,139,805873.75,
2024-06-28T15:30:02.127731268Z,146,5557.75,5557.74,1.58,-3.63,-2.05,140,811431.50,
2024-06-28T15:30:02.127749551Z,149,5557.75,5557.74,1.58,-3.63,-2.05,141,828104.75,
2024-06-28T15:30:02.127760738Z,150,5557.75,5557.74,1.58,-3.63,-2.05,142,833662.50,
2024-06-28T15:30:02.127760738Z,152,5557.77,5557.74,4.58,-3.63,0.95,143,844781.04,
2024-06-28T15:30:02.127771894Z,154,5557.77,5557.74,4.58,-3.63,0.95,144,855896.58,
2024-06-28T15:30:02.127771894Z,156,5557.77,5557.74,4.58,-3.63,0.95,145,867012.12,
2024-06-28T15:30:02.127771894Z,157,5557.78,5557.74,6.14,-3.63,2.51,146,872571.46,
2024-06-28T15:30:02.127779681Z,160,5557.78,5557.74,6.14,-3.63,2.51,147,889244.80,
2024-06-28T15:30:02.127784616Z,161,5557.78,5557.74,6.14,-3.63,2.51,148,894802.58,
2024-06-28T15:30:02.127965608Z,162,5557.78,5557.74,6.14,-3.63,2.51,149,900360.36,
2024-06-28T15:30:02.127974440Z,163,5557.79,5557.74,7.76,-3.63,4.13,150,905919.77,
2024-06-28T15:30:02.127980277Z,164,5557.79,5557.74,7.76,-3.63,4.13,151,911477.56,
2024-06-28T15:30:02.127989313Z,165,5557.79,5557.74,7.76,-3.63,4.13,152,917035.35,
2024-06-28T15:30:02.128076412Z,166,5557.79,5557.74,7.76,-3.63,4.13,153,922593.14,
2024-06-28T15:30:02.128167110Z,168,5557.79,5557.74,7.76,-3.63,4.13,154,933708.72,
2024-06-28T15:30:02.128167110Z,169,5557.80,5557.74,9.44,-3.63,5.81,155,939268.20,
2024-06-28T15:30:02.128180165Z,174,5557.80,5557.75,9.44,-3.63,5.81,156,967057.20,
2024-06-28T15:30:02.128296616Z,175,5557.81,5557.75,11.18,-3.63,7.55,157,972616.75,
2024-06-28T15:30:02.128302919Z,180,5557.81,5557.75,11.18,-3.63,7.55,158,1000405.80,
2024-06-28T15:30:02.128312985Z,181,5557.82,5557.75,12.98,-3.63,9.35,159,1005965.42,
2024-06-28T15:30:02.128464758Z,182,5557.82,5557.75,12.98,-3.63,9.35,160,1011523.24,
2024-06-28T15:30:02.131529032Z,183,5557.82,5557.75,12.98,-3.63,9.35,161,1017081.06,
2024-06-28T15:30:02.131623673Z,184,5557.82,5557.75,12.98,-3.63,9.35,162,1022638.88,
2024-06-28T15:30:02.131630692Z,185,5557.82,5557.75,12.98,-3.63,9.35,163,1028196.70,
2024-06-28T15:30:02.194927923Z,186,5557.83,5557.75,14.83,-3.63,11.20,164,1033756.38,
2024-06-28T15:30:02.195024443Z,187,5557.83,5557.75,14.83,-3.63,11.20,165,1039314.21,
2024-06-28T15:30:02.195103468Z,190,5557.83,5557.75,14.83,-3.63,11.20,166,1055987.70,
2024-06-28T15:30:02.195254995Z,195,5557.84,5557.75,16.73,-3.63,13.10,167,1083778.80,
2024-06-28T15:30:02.312973090Z,196,5557.85,5557.75,18.68,-3.63,15.05,168,1089338.60,
2024-06-28T15:30:02.313069148Z,199,5557.85,5557.76,18.68,-3.63,15.05,169,1106012.15,
2024-06-28T15:30:02.313082787Z,200,5557.85,5557.76,18.68,-3.63,15.05,170,1111570.00,
2024-06-28T15:30:02.313094594Z,201,5557.86,5557.76,20.68,-3.63,17.05,171,1117129.86,
2024-06-28T15:30:02.322077961Z,205,5557.86,5557.76,20.68,-3.63,17.05,172,1139361.30,
2024-06-28T15:30:02.322077961Z,206,5557.87,5557.76,22.73,-3.63,19.10,173,1144921.22,
2024-06-28T15:30:02.322170681Z,207,5557.87,5557.76,22.73,-3.63,19.10,174,1150479.09,
2024-06-28T15:30:02.322179154Z,208,5557.87,5557.76,22.73,-3.63,19.10,175,1156036.96,
2024-06-28T15:30:02.475879509Z,210,5557.87,5557.76,22.73,-3.63,19.10,176,1167152.70,
2024-06-28T15:30:02.475879509Z,211,5557.88,5557.76,24.83,-3.63,21.20,177,1172712.68,
2024-06-28T15:30:02.475887112Z,215,5557.88,5557.76,24.83,-3.63,21.20,178,1194944.20,
2024-06-28T15:30:02.475887112Z,216,5557.89,5557.77,26.98,-3.63,23.35,179,1200504.24,
2024-06-28T15:30:02.475981067Z,219,5557.89,5557.77,26.98,-3.63,23.35,180,1217177.91,
2024-06-28T15:30:02.476032521Z,220,5557.89,5557.77,26.98,-3.63,23.35,181,1222735.80,
2024-06-28T15:30:02.485047739Z,221,5557.90,5557.77,29.18,-3.63,25.55,182,1228295.90,
2024-06-28T15:30:02.485056238Z,223,5557.90,5557.77,29.18,-3.63,25.55,183,1239411.70,
2024-06-28T15:30:02.485064143Z,225,5557.90,5557.77,29.18,-3.63,25.55,184,1250527.50,
2024-06-28T15:30:02.485064143Z,228,5557.91,5557.77,31.43,-3.63,27.80,185,1267203.48,
2024-06-28T15:30:02.485166668Z,229,5557.91,5557.77,31.43,-3.63,27.80,186,1272761.39,
2024-06-28T15:30:02.485564787Z,230,5557.91,5557.77,31.43,-3.63,27.80,187,1278319.30,
2024-06-28T15:30:02.485564787Z,232,5557.92,5557.77,33.73,-3.63,30.10,188,1289437.44,
2024-06-28T15:30:02.485570358Z,235,5557.92,5557.78,33.73,-3.63,30.10,189,1306111.20,
2024-06-28T15:30:02.485570358Z,237,5557.93,5557.78,36.08,-3.63,32.45,190,1317229.41,
2024-06-28T15:30:02.485582221Z,238,5557.93,5557.78,36.08,-3.63,32.45,191,1322787.34,
2024-06-28T15:30:02.485588252Z,239,5557.93,5557.78,36.08,-3.63,32.45,192,1328345.27,
2024-06-28T15:30:02.485606791Z,240,5557.93,5557.78,36.08,-3.63,32.45,193,1333903.20,
2024-06-28T15:30:02.485659403Z,241,5557.94,5557.78,38.48,-3.63,34.85,194,1339463.54,
2024-06-28T15:30:02.485675582Z,242,5557.94,5557.78,38.48,-3.63,34.85,195,1345021.48,
2024-06-28T15:30:02.486097749Z,243,5557.94,5557.78,38.48,-3.63,34.85,196,1350579.42,
2024-06-28T15:30:02.495144275Z,244,5557.94,5557.78,38.48,-3.63,34.85,197,1356137.36,
2024-06-28T15:30:02.495237973Z,245,5557.95,5557.78,40.92,-3.63,37.29,198,1361697.75,
2024-06-28T15:30:02.522445799Z,246,5557.95,5557.78,40.92,-3.63,37.29,199,1367255.70,
2024-06-28T15:30:02.522542595Z,248,5557.95,5557.79,40.92,-3.63,37.29,200,1378371.60,
2024-06-28T15:30:02.522542595Z,249,5557.96,5557.79,43.40,-3.63,39.77,201,1383932.04,
2024-06-28T15:30:02.522554621Z,252,5557.96,5557.79,43.40,-3.63,39.77,202,1400605.92,
2024-06-28T15:30:02.522554621Z,254,5557.97,5557.79,45.92,-3.63,42.29,203,1411724.38,
2024-06-28T15:30:02.522647193Z,255,5557.97,5557.79,45.92,-3.63,42.29,204,1417282.35,
2024-06-28T15:30:02.522665133Z,256,5557.97,5557.79,45.92,-3.63,42.29,205,1422840.32,
2024-06-28T15:30:02.522677319Z,257,5557.98,5557.79,48.48,-3.63,44.85,206,1428400.86,
2024-06-28T15:30:02.522772476Z,258,5557.98,5557.79,48.48,-3.63,44.85,207,1433958.84,
2024-06-28T15:30:02.522882993Z,259,5557.98,5557.79,48.48,-3.63,44.85,208,1439516.82,
2024-06-28T15:30:02.523562423Z,260,5557.98,5557.79,48.48,-3.63,44.85,209,1445074.80,
2024-06-28T15:30:02.523572918Z,261,5557.99,5557.79,51.08,-3.63,47.45,210,1450635.39,
2024-06-28T15:30:02.523666427Z,262,5557.99,5557.80,51.08,-3.63,47.45,211,1456193.38,
2024-06-28T15:30:02.523777226Z,263,5557.99,5557.80,51.08,-3.63,47.45,212,1461751.37,
2024-06-28T15:30:02.523798627Z,264,5557.99,5557.80,51.08,-3.63,47.45,213,1467309.36,
2024-06-28T15:30:03.684578957Z,265,5558.19,5557.80,103.88,-3.63,100.25,214,1472920.35,
2024-06-28T15:30:03.684630186Z,266,5558.19,5557.80,103.88,-3.63,100.25,215,1478478.54,
2024-06-28T15:30:03.684635894Z,268,5558.19,5557.80,103.88,-3.63,100.25,216,1489594.92,
2024-06-28T15:30:03.684678292Z,269,5558.20,5557.80,106.56,-3.63,102.93,217,1495155.80,
2024-06-28T15:30:03.684728005Z,270,5558.20,5557.81,106.56,-3.63,102.93,218,1500714.00,
2024-06-28T15:30:03.684733299Z,271,5558.20,5557.81,106.56,-3.63,102.93,219,1506272.20,
2024-06-28T15:30:03.684768345Z,274,5558.21,5557.81,109.27,-3.63,105.64,220,1522949.54,
2024-06-28T15:30:03.684776531Z,277,5558.22,5557.82,112.01,-3.63,108.38,221,1539626.94,
2024-06-28T15:30:03.684776531Z,279,5558.23,5557.82,114.78,-3.63,111.15,222,1550746.17,
2024-06-28T15:30:03.684835855Z,280,5558.23,5557.82,114.78,-3.63,111.15,223,1556304.40,
2024-06-28T15:30:03.684835855Z,283,5558.24,5557.82,117.58,-3.63,113.95,224,1572981.92,
2024-06-28T15:30:04.139569794Z,284,5558.47,5557.83,182.67,-3.63,179.04,225,1578605.48,
2024-06-28T15:30:04.139592014Z,288,5558.48,5557.84,185.51,-3.63,181.88,226,1600842.24,
2024-06-28T15:30:04.139592014Z,289,5558.49,5557.84,188.39,-3.63,184.76,227,1606403.61,
2024-06-28T15:30:04.139633700Z,290,5558.49,5557.84,188.39,-3.63,184.76,228,1611962.10,
2024-06-28T15:30:04.139644513Z,291,5558.49,5557.84,188.39,-3.63,184.76,229,1617520.59,
2024-06-28T15:30:04.139655360Z,292,5558.49,5557.84,188.39,-3.63,184.76,230,1623079.08,
2024-06-28T15:30:25.278877677Z,294,5558.66,5557.85,238.03,-3.63,234.40,231,1634246.04,
2024-06-28T15:30:25.278877677Z,295,5558.66,5557.85,238.03,-3.63,234.40,232,1639804.70,
2024-06-28T15:30:25.278903081Z,296,5558.66,5557.86,238.03,-3.63,234.40,233,1645363.36,
2024-06-28T15:30:25.278911432Z,297,5558.66,5557.86,238.03,-3.63,234.40,234,1650922.02,
2024-06-28T15:30:25.278932659Z,298,5558.67,5557.86,241.00,-3.63,237.37,235,1656483.66,
2024-06-28T15:30:25.279097108Z,300,5558.67,5557.87,241.00,-3.63,237.37,236,1667601.00,
2024-06-28T15:30:25.279120091Z,302,5558.67,5557.87,241.00,-3.63,237.37,237,1678718.34,
2024-06-28T15:30:25.279220062Z,303,5558.68,5557.87,244.02,-3.63,240.39,238,1684280.04,
2024-06-28T15:30:25.279231970Z,304,5558.68,5557.88,244.02,-3.63,240.39,239,1689838.72,
2024-06-28T15:30:25.279244073Z,305,5558.68,5557.88,244.02,-3.63,240.39,240,1695397.40,
2024-06-28T15:30:25.279453818Z,306,5558.68,5557.88,244.02,-3.63,240.39,241,1700956.08,
2024-06-28T15:30:25.279487916Z,307,5558.68,5557.89,244.02,-3.63,240.39,242,1706514.76,
2024-06-28T15:30:25.279487916Z,311,5558.69,5557.90,247.09,-3.63,243.46,243,1728752.59,
2024-06-28T15:30:25.280369431Z,312,5558.69,5557.90,247.09,-3.63,243.46,244,1734311.28,
2024-06-28T15:30:25.280471981Z,313,5558.70,5557.90,250.21,-3.63,246.58,245,1739873.10,
2024-06-28T15:30:25.280535872Z,314,5558.70,5557.90,250.21,-3.63,246.58,246,1745431.80,
2024-06-28T15:30:25.280635229Z,315,5558.70,5557.91,250.21,-3.63,246.58,247,1750990.50,
2024-06-28T15:30:25.317901088Z,316,5558.70,5557.91,250.21,-3.63,246.58,248,1756549.20,
2024-06-28T15:30:25.317901088Z,317,5558.71,5557.91,253.37,-3.63,249.74,249,1762111.07,
2024-06-28T15:30:25.317911291Z,318,5558.71,5557.91,253.37,-3.63,249.74,250,1767669.78,
2024-06-28T15:30:25.318229152Z,319,5558.71,5557.92,253.37,-3.63,249.74,251,1773228.49,
