# Portfolio Backtesting CSV Output
# Generated by PortfolioManager for user 1000
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   position: Net position (positive=long, negative=short, 0=flat)
#   current_price: Latest market price in dollars (converted from ticks)
#   cost: Cost basis per unit in dollars
#   unrealized_pnl: Mark-to-market P&L for current position in dollars
#   realized_pnl: Cumulative realized P&L from closed trades in dollars
#   total_pnl: Total P&L (realized + unrealized) in dollars
#   total_trades: Number of trade executions involving tracked orders
#   position_value: Current market value of position in dollars

timestamp,position,current_price,average_cost,unrealized_pnl,realized_pnl,total_pnl,total_trades,position_value
2024-06-28T15:30:00.082392039Z,27,5558.49,5558.41,2.06,0.00,2.06,25,150079.23,
2024-06-28T15:30:00.082403097Z,28,5558.49,5558.42,2.06,0.00,2.06,26,155637.72,
2024-06-28T15:30:00.304151682Z,27,5558.38,5558.42,-0.98,-0.04,-1.02,27,150076.26,
2024-06-28T15:30:00.304151682Z,26,5558.37,5558.42,-1.21,-0.08,-1.29,28,144517.62,
2024-06-28T15:30:00.304151682Z,25,5558.36,5558.42,-1.41,-0.14,-1.55,29,138959.00,
2024-06-28T15:30:00.304151682Z,24,5558.35,5558.42,-1.59,-0.21,-1.80,30,133400.40,
2024-06-28T15:30:00.304489060Z,23,5558.34,5558.42,-1.76,-0.28,-2.04,31,127841.82,
2024-06-28T15:30:00.304489060Z,22,5558.32,5558.42,-2.12,-0.38,-2.50,32,122283.04,
2024-06-28T15:30:00.304489060Z,21,5558.32,5558.42,-2.03,-0.48,-2.50,33,116724.72,
2024-06-28T15:30:00.304489060Z,20,5558.32,5558.42,-1.93,-0.57,-2.50,34,111166.40,
2024-06-28T15:30:00.304489060Z,19,5558.32,5558.42,-1.83,-0.67,-2.50,35,105608.08,
2024-06-28T15:30:00.384888662Z,18,5558.32,5558.42,-1.74,-0.76,-2.50,36,100049.76,
2024-06-28T15:30:00.384888662Z,17,5558.32,5558.42,-1.64,-0.86,-2.50,37,94491.44,
2024-06-28T15:30:00.384888662Z,16,5558.32,5558.42,-1.54,-0.96,-2.50,38,88933.12,
2024-06-28T15:30:00.384888662Z,15,5558.32,5558.42,-1.45,-1.05,-2.50,39,83374.80,
2024-06-28T15:30:00.384888662Z,14,5558.32,5558.42,-1.35,-1.15,-2.50,40,77816.48,
2024-06-28T15:30:00.384888662Z,13,5558.32,5558.42,-1.25,-1.25,-2.50,41,72258.16,
2024-06-28T15:30:00.384888662Z,12,5558.32,5558.42,-1.16,-1.34,-2.50,42,66699.84,
2024-06-28T15:30:00.384888662Z,11,5558.32,5558.42,-1.06,-1.44,-2.50,43,61141.52,
2024-06-28T15:30:00.384888662Z,10,5558.32,5558.42,-0.96,-1.54,-2.50,44,55583.20,
2024-06-28T15:30:00.384888662Z,9,5558.32,5558.42,-0.87,-1.63,-2.50,45,50024.88,
2024-06-28T15:30:00.384888662Z,8,5558.32,5558.42,-0.77,-1.73,-2.50,46,44466.56,
2024-06-28T15:30:00.384888662Z,7,5558.32,5558.42,-0.68,-1.83,-2.50,47,38908.24,
2024-06-28T15:30:00.384888662Z,6,5558.32,5558.42,-0.58,-1.92,-2.50,48,33349.92,
2024-06-28T15:30:00.384888662Z,5,5558.32,5558.42,-0.48,-2.02,-2.50,49,27791.60,
2024-06-28T15:30:00.384888662Z,4,5558.32,5558.42,-0.39,-2.11,-2.50,50,22233.28,
2024-06-28T15:30:00.384888662Z,3,5558.32,5558.42,-0.29,-2.21,-2.50,51,16674.96,
2024-06-28T15:30:00.384888662Z,2,5558.32,5558.42,-0.19,-2.31,-2.50,52,11116.64,
2024-06-28T15:30:00.384888662Z,1,5558.32,5558.42,-0.10,-2.40,-2.50,53,5558.32,
2024-06-28T15:30:00.384888662Z,0,5558.32,0.00,0.00,-2.50,-2.50,54,0.00,
2024-06-28T15:30:00.384888662Z,-1,5558.32,5558.32,-0.00,-2.50,-2.50,55,5558.32,
2024-06-28T15:30:00.384888662Z,-2,5558.32,5558.32,-0.00,-2.50,-2.50,56,11116.64,
2024-06-28T15:30:00.384888662Z,-3,5558.32,5558.32,-0.00,-2.50,-2.50,57,16674.96,
2024-06-28T15:30:00.384888662Z,-4,5558.32,5558.32,-0.00,-2.50,-2.50,58,22233.28,
2024-06-28T15:30:00.384888662Z,-5,5558.32,5558.32,-0.00,-2.50,-2.50,59,27791.60,
2024-06-28T15:30:00.384888662Z,-6,5558.32,5558.32,-0.00,-2.50,-2.50,60,33349.92,
2024-06-28T15:30:00.384888662Z,-7,5558.32,5558.32,-0.00,-2.50,-2.50,61,38908.24,
2024-06-28T15:30:00.384888662Z,-8,5558.32,5558.32,-0.00,-2.50,-2.50,62,44466.56,
2024-06-28T15:30:00.384888662Z,-9,5558.32,5558.32,-0.00,-2.50,-2.50,63,50024.88,
2024-06-28T15:30:00.384888662Z,-10,5558.32,5558.32,-0.00,-2.50,-2.50,64,55583.20,
2024-06-28T15:30:00.384888662Z,-11,5558.32,5558.32,-0.00,-2.50,-2.50,65,61141.52,
2024-06-28T15:30:00.504172117Z,-12,5558.31,5558.32,0.11,-2.50,-2.39,66,66699.72,
2024-06-28T15:30:00.504860342Z,-13,5558.30,5558.32,0.23,-2.50,-2.27,67,72257.90,
2024-06-28T15:30:00.504955126Z,-14,5558.29,5558.32,0.36,-2.50,-2.14,68,77816.06,
2024-06-28T15:30:00.504963697Z,-15,5558.28,5558.31,0.50,-2.50,-2.00,69,83374.20,
2024-06-28T15:30:00.504963697Z,-16,5558.27,5558.31,0.65,-2.50,-1.85,70,88932.32,
2024-06-28T15:30:00.504968996Z,-17,5558.26,5558.31,0.81,-2.50,-1.69,71,94490.42,
2024-06-28T15:30:04.139569794Z,-16,5558.34,5558.31,-0.52,-2.53,-3.05,72,88933.44,
2024-06-28T15:30:04.139592014Z,-15,5558.34,5558.31,-0.49,-2.56,-3.05,73,83375.10,
2024-06-28T15:30:04.139592014Z,-14,5558.34,5558.31,-0.45,-2.60,-3.05,74,77816.76,
2024-06-28T15:30:04.139592014Z,-13,5558.34,5558.31,-0.42,-2.63,-3.05,75,72258.42,
2024-06-28T15:30:04.139592014Z,-12,5558.34,5558.31,-0.39,-2.66,-3.05,76,66700.08,
2024-06-28T15:30:04.139592014Z,-11,5558.35,5558.31,-0.47,-2.70,-3.17,77,61141.85,
2024-06-28T15:30:04.139633700Z,-10,5558.36,5558.31,-0.52,-2.76,-3.28,78,55583.60,
2024-06-28T15:30:04.139644513Z,-9,5558.37,5558.31,-0.56,-2.82,-3.38,79,50025.33,
2024-06-28T15:30:04.139655360Z,-8,5558.38,5558.31,-0.58,-2.89,-3.47,80,44467.04,
2024-06-28T15:30:04.139918159Z,-7,5558.39,5558.31,-0.58,-2.97,-3.55,81,38908.73,
2024-06-28T15:30:04.139926560Z,-6,5558.40,5558.31,-0.55,-3.07,-3.62,82,33350.40,
2024-06-28T15:30:04.140367717Z,-5,5558.41,5558.31,-0.51,-3.17,-3.68,83,27792.05,
2024-06-28T15:30:04.140580682Z,-4,5558.42,5558.31,-0.45,-3.28,-3.73,84,22233.68,
2024-06-28T15:30:04.154425142Z,-2,5558.43,5558.31,-0.24,-3.53,-3.77,85,11116.86,
2024-06-28T15:30:04.154425142Z,0,5558.43,0.00,0.00,-3.77,-3.77,86,0.00,
2024-06-28T15:30:04.156435097Z,1,5558.44,5558.44,0.00,-3.77,-3.77,87,5558.44,
2024-06-28T15:30:04.156435097Z,2,5558.44,5558.44,0.00,-3.77,-3.77,88,11116.88,
2024-06-28T15:30:04.156435097Z,3,5558.44,5558.44,0.00,-3.77,-3.77,89,16675.32,
2024-06-28T15:30:04.156539542Z,5,5558.45,5558.44,0.03,-3.77,-3.74,90,27792.25,
2024-06-28T15:30:04.156539542Z,7,5558.46,5558.45,0.08,-3.77,-3.69,91,38909.22,
2024-06-28T15:30:04.156539542Z,9,5558.46,5558.45,0.08,-3.77,-3.69,92,50026.14,
2024-06-28T15:30:04.156551625Z,10,5558.47,5558.45,0.17,-3.77,-3.60,93,55584.70,
2024-06-28T15:30:04.156559930Z,11,5558.48,5558.46,0.27,-3.77,-3.50,94,61143.28,
2024-06-28T15:30:04.156559930Z,12,5558.49,5558.46,0.38,-3.77,-3.39,95,66701.88,
2024-06-28T15:30:06.292924210Z,11,5558.46,5558.46,0.02,-3.77,-3.75,96,61143.06,
2024-06-28T15:30:06.292924210Z,10,5558.44,5558.46,-0.18,-3.79,-3.97,97,55584.40,
2024-06-28T15:30:06.293034030Z,9,5558.44,5558.46,-0.17,-3.81,-3.97,98,50025.96,
2024-06-28T15:30:06.293034030Z,8,5558.43,5558.46,-0.23,-3.83,-4.06,99,44467.44,
2024-06-28T15:30:06.293199893Z,7,5558.42,5558.46,-0.27,-3.87,-4.14,100,38908.94,
2024-06-28T15:30:06.730729631Z,6,5558.43,5558.46,-0.17,-3.90,-4.07,101,33350.58,
2024-06-28T15:30:06.730771497Z,5,5558.43,5558.46,-0.14,-3.93,-4.07,102,27792.15,
2024-06-28T15:30:06.730771497Z,4,5558.42,5558.46,-0.15,-3.97,-4.12,103,22233.68,
2024-06-28T15:30:06.730848857Z,3,5558.41,5558.46,-0.15,-4.02,-4.16,104,16675.23,
2024-06-28T15:30:06.730877124Z,2,5558.41,5558.46,-0.10,-4.06,-4.16,105,11116.82,
2024-06-28T15:30:06.730947907Z,1,5558.41,5558.46,-0.05,-4.11,-4.16,106,5558.41,
2024-06-28T15:30:06.731047877Z,0,5558.40,0.00,0.00,-4.17,-4.17,107,0.00,
2024-06-28T15:30:06.731293921Z,-2,5558.40,5558.40,-0.00,-4.17,-4.17,108,11116.80,
2024-06-28T15:30:06.731293921Z,-3,5558.39,5558.40,0.02,-4.17,-4.15,109,16675.17,
2024-06-28T15:30:06.731303695Z,-5,5558.39,5558.39,0.02,-4.17,-4.15,110,27791.95,
2024-06-28T15:30:06.731303695Z,-7,5558.38,5558.39,0.07,-4.17,-4.10,111,38908.66,
2024-06-28T15:30:06.731439674Z,-8,5558.38,5558.39,0.07,-4.17,-4.10,112,44467.04,
2024-06-28T15:30:06.731551844Z,-9,5558.37,5558.39,0.15,-4.17,-4.02,113,50025.33,
2024-06-28T15:30:06.731798928Z,-11,5558.37,5558.38,0.15,-4.17,-4.02,114,61142.07,
2024-06-28T15:30:06.731798928Z,-14,5558.36,5558.38,0.26,-4.17,-3.91,115,77817.04,
2024-06-28T15:30:06.731827880Z,-15,5558.35,5558.38,0.40,-4.17,-3.77,116,83375.25,
2024-06-28T15:30:06.732874306Z,-16,5558.35,5558.38,0.40,-4.17,-3.77,117,88933.60,
2024-06-28T15:30:06.733315997Z,-17,5558.35,5558.37,0.40,-4.17,-3.77,118,94491.95,
2024-06-28T15:30:06.733357225Z,-18,5558.34,5558.37,0.57,-4.17,-3.60,119,100050.12,
2024-06-28T15:30:06.733474137Z,-19,5558.34,5558.37,0.57,-4.17,-3.60,120,105608.46,
2024-06-28T15:30:06.733480004Z,-20,5558.34,5558.37,0.57,-4.17,-3.60,121,111166.80,
2024-06-28T15:30:06.733588806Z,-21,5558.33,5558.37,0.77,-4.17,-3.40,122,116724.93,
2024-06-28T15:30:06.735003487Z,-22,5558.33,5558.36,0.77,-4.17,-3.40,123,122283.26,
2024-06-28T15:30:06.735243685Z,-23,5558.33,5558.36,0.77,-4.17,-3.40,124,127841.59,
2024-06-28T15:30:06.735490195Z,-24,5558.32,5558.36,1.00,-4.17,-3.17,125,133399.68,
2024-06-28T15:30:06.735583013Z,-25,5558.32,5558.36,1.00,-4.17,-3.17,126,138958.00,
2024-06-28T15:30:06.735695378Z,-26,5558.32,5558.36,1.00,-4.17,-3.17,127,144516.32,
2024-06-28T15:30:06.735797391Z,-27,5558.31,5558.36,1.26,-4.17,-2.91,128,150074.37,
2024-06-28T15:30:06.736020089Z,-28,5558.31,5558.35,1.26,-4.17,-2.91,129,155632.68,
2024-06-28T15:30:06.736034317Z,-29,5558.31,5558.35,1.26,-4.17,-2.91,130,161190.99,
2024-06-28T15:30:06.736143734Z,-30,5558.30,5558.35,1.55,-4.17,-2.62,131,166749.00,
2024-06-28T15:30:06.736259811Z,-31,5558.30,5558.35,1.55,-4.17,-2.62,132,172307.30,
2024-06-28T15:30:06.823152762Z,-32,5558.30,5558.35,1.55,-4.17,-2.62,133,177865.60,
2024-06-28T15:30:06.823152762Z,-34,5558.29,5558.34,1.87,-4.17,-2.30,134,188981.86,
2024-06-28T15:30:06.823165623Z,-35,5558.29,5558.34,1.87,-4.17,-2.30,135,194540.15,
2024-06-28T15:30:06.823322905Z,-37,5558.28,5558.34,2.22,-4.17,-1.95,136,205656.36,
2024-06-28T15:30:06.823322905Z,-38,5558.27,5558.34,2.59,-4.17,-1.58,137,211214.26,
2024-06-28T15:30:06.823331865Z,-39,5558.27,5558.34,2.59,-4.17,-1.58,138,216772.53,
2024-06-28T15:30:06.823354720Z,-40,5558.26,5558.33,2.98,-4.17,-1.19,139,222330.40,
2024-06-28T15:30:22.079523752Z,-39,5558.39,5558.33,-2.16,-4.23,-6.39,140,216777.21,
2024-06-28T15:30:22.170142580Z,-38,5558.39,5558.33,-2.11,-4.28,-6.39,141,211218.82,
2024-06-28T15:30:22.170142580Z,-36,5558.40,5558.33,-2.36,-4.41,-6.77,142,200102.40,
2024-06-28T15:30:22.170142580Z,-35,5558.41,5558.33,-2.64,-4.49,-7.13,143,194544.35,
2024-06-28T15:30:22.170248028Z,-34,5558.41,5558.33,-2.57,-4.56,-7.13,144,188985.94,
2024-06-28T15:30:22.170258012Z,-33,5558.42,5558.33,-2.82,-4.65,-7.47,145,183427.86,
2024-06-28T15:30:22.170271738Z,-32,5558.42,5558.33,-2.74,-4.73,-7.47,146,177869.44,
2024-06-28T15:30:22.170374494Z,-31,5558.42,5558.33,-2.65,-4.82,-7.47,147,172311.02,
2024-06-28T15:30:22.170414244Z,-30,5558.42,5558.33,-2.57,-4.91,-7.47,148,166752.60,
2024-06-28T15:30:22.170478248Z,-29,5558.43,5558.33,-2.77,-5.00,-7.77,149,161194.47,
2024-06-28T15:30:22.170487489Z,-28,5558.43,5558.33,-2.67,-5.10,-7.77,150,155636.04,
2024-06-28T15:30:22.170645365Z,-27,5558.43,5558.33,-2.58,-5.19,-7.77,151,150077.61,
2024-06-28T15:30:22.170645365Z,-26,5558.44,5558.33,-2.74,-5.30,-8.04,152,144519.44,
2024-06-28T15:30:22.170645365Z,-25,5558.45,5558.33,-2.89,-5.41,-8.30,153,138961.25,
2024-06-28T15:30:22.170645365Z,-24,5558.45,5558.33,-2.77,-5.53,-8.30,154,133402.80,
2024-06-28T15:30:22.170645365Z,-23,5558.46,5558.33,-2.89,-5.65,-8.54,155,127844.58,
2024-06-28T15:30:22.170753393Z,-22,5558.47,5558.33,-2.98,-5.79,-8.77,156,122286.34,
2024-06-28T15:30:22.178830291Z,-21,5558.48,5558.33,-3.06,-5.93,-8.99,157,116728.08,
2024-06-28T15:30:22.178928500Z,-20,5558.49,5558.33,-3.11,-6.09,-9.20,158,111169.80,
2024-06-28T15:30:22.812194998Z,-21,5558.38,5558.34,-0.91,-6.09,-7.00,159,116725.98,
2024-06-28T15:30:22.812201941Z,-22,5558.38,5558.34,-0.91,-6.09,-7.00,160,122284.36,
2024-06-28T15:30:22.812216327Z,-23,5558.38,5558.34,-0.91,-6.09,-7.00,161,127842.74,
2024-06-28T15:30:22.812238496Z,-26,5558.37,5558.34,-0.68,-6.09,-6.77,162,144517.62,
2024-06-28T15:30:22.812244108Z,-28,5558.36,5558.35,-0.42,-6.09,-6.51,163,155634.08,
2024-06-28T15:30:22.812302730Z,-29,5558.36,5558.35,-0.42,-6.09,-6.51,164,161192.44,
2024-06-28T15:30:22.812302730Z,-31,5558.35,5558.35,-0.13,-6.09,-6.22,165,172308.85,
2024-06-28T15:30:22.812311454Z,-33,5558.34,5558.35,0.18,-6.09,-5.91,166,183425.22,
2024-06-28T15:30:22.812311454Z,-34,5558.33,5558.35,0.51,-6.09,-5.58,167,188983.22,
2024-06-28T15:30:22.812316835Z,-35,5558.33,5558.34,0.51,-6.09,-5.58,168,194541.55,
2024-06-28T15:30:22.812316835Z,-36,5558.32,5558.34,0.86,-6.09,-5.23,169,200099.52,
2024-06-28T15:30:22.812382364Z,-37,5558.32,5558.34,0.86,-6.09,-5.23,170,205657.84,
2024-06-28T15:30:22.812555676Z,-38,5558.31,5558.34,1.23,-6.09,-4.86,171,211215.78,
2024-06-28T15:30:22.812561313Z,-39,5558.30,5558.34,1.61,-6.09,-4.48,172,216773.70,
2024-06-28T15:30:22.812567001Z,-40,5558.29,5558.34,2.00,-6.09,-4.09,173,222331.60,
2024-06-28T15:30:22.812577901Z,-41,5558.28,5558.34,2.40,-6.09,-3.69,174,227889.48,
2024-06-28T15:30:22.812589216Z,-42,5558.27,5558.34,2.81,-6.09,-3.28,175,233447.34,
2024-06-28T15:30:22.812589216Z,-43,5558.26,5558.34,3.23,-6.09,-2.86,176,239005.18,
2024-06-28T15:30:25.278877677Z,-41,5558.63,5558.34,-12.09,-6.68,-18.77,177,227903.83,
2024-06-28T15:30:25.278877677Z,-40,5558.63,5558.34,-11.80,-6.97,-18.77,178,222345.20,
2024-06-28T15:30:25.278903081Z,-39,5558.64,5558.34,-11.89,-7.28,-19.17,179,216786.96,
2024-06-28T15:30:25.278911432Z,-38,5558.64,5558.34,-11.59,-7.58,-19.17,180,211228.32,
2024-06-28T15:30:25.278932659Z,-37,5558.64,5558.34,-11.28,-7.89,-19.17,181,205669.68,
2024-06-28T15:30:25.279097108Z,-35,5558.65,5558.34,-11.02,-8.52,-19.54,182,194552.75,
2024-06-28T15:30:25.279120091Z,-33,5558.66,5558.34,-10.72,-9.17,-19.89,183,183435.78,
2024-06-28T15:30:25.279220062Z,-32,5558.67,5558.34,-10.72,-9.50,-20.22,184,177877.44,
2024-06-28T15:30:25.279231970Z,-31,5558.68,5558.34,-10.69,-9.85,-20.54,185,172319.08,
2024-06-28T15:30:25.279244073Z,-30,5558.69,5558.34,-10.65,-10.20,-20.85,186,166760.70,
2024-06-28T15:30:25.279453818Z,-29,5558.70,5558.34,-10.58,-10.57,-21.15,187,161202.30,
2024-06-28T15:30:25.279487916Z,-28,5558.71,5558.34,-10.50,-10.94,-21.44,188,155643.88,
2024-06-28T15:30:25.279487916Z,-27,5558.72,5558.34,-10.39,-11.33,-21.72,189,150085.44,
2024-06-28T15:30:25.279487916Z,-26,5558.73,5558.34,-10.27,-11.72,-21.99,190,144526.98,
,
2024-06-28T15:30:22.479273250Z,-38,5558.51,5558.54,1.14,-10.96,-9.82,191,211223.38,
2024-06-28T15:30:22.812194998Z,-39,5558.48,5558.54,2.28,-10.96,-8.68,192,216780.72,
2024-06-28T15:30:22.812201941Z,-40,5558.48,5558.54,2.28,-10.96,-8.68,193,222339.20,
2024-06-28T15:30:22.812216327Z,-41,5558.48,5558.54,2.28,-10.96,-8.68,194,227897.68,
2024-06-28T15:30:22.812238496Z,-44,5558.47,5558.53,2.69,-10.96,-8.27,195,244572.68,
2024-06-28T15:30:22.812244108Z,-46,5558.46,5558.53,3.13,-10.96,-7.83,196,255689.16,
2024-06-28T15:30:22.812302730Z,-47,5558.46,5558.53,3.13,-10.96,-7.83,197,261247.62,
2024-06-28T15:30:22.812302730Z,-49,5558.45,5558.52,3.60,-10.96,-7.36,198,272364.05,
2024-06-28T15:30:22.812311454Z,-50,5558.45,5558.52,3.60,-10.96,-7.36,199,277922.50,
2024-06-28T15:30:22.812311454Z,-52,5558.44,5558.52,4.10,-10.96,-6.86,200,289038.88,
2024-06-28T15:30:22.812316835Z,-53,5558.44,5558.52,4.10,-10.96,-6.86,201,294597.32,
2024-06-28T15:30:22.812316835Z,-54,5558.43,5558.52,4.63,-10.96,-6.33,202,300155.22,
2024-06-28T15:30:22.812382364Z,-55,5558.43,5558.51,4.63,-10.96,-6.33,203,305713.65,
20242024-06-28T15:30:28.133962510Z,-22,5558.99,5558.76,-5.17,-7.49,-12.66,206,122297.78,
2024-06-28T15:30:31.625555882Z,-23,5559.22,5558.78,-10.23,-7.49,-17.72,207,127862.06,
2024-06-28T15:30:31.625562399Z,-24,5559.21,5558.79,-10.00,-7.49,-17.49,208,133421.04,
2024-06-28T15:30:31.625606696Z,-25,5559.20,5558.81,-9.76,-7.49,-17.25,209,138980.00,
2024-06-28T15:30:31.625606696Z,-27,5559.19,5558.84,-9.51,-7.49,-17.00,210,150098.13,
2024-06-28T15:30:31.625606696Z,-28,5559.18,5558.85,-9.24,-7.49,-16.73,211,155657.04,
2024-06-28T15:30:31.625613531Z,-29,5559.18,5558.86,-9.24,-7.49,-16.73,212,161216.22,
2024-06-28T15:30:31.625613531Z,-30,5559.17,5558.87,-8.95,-7.49,-16.44,213,166775.10,
2024-06-28T15:30:31.625618446Z,-31,5559.17,5558.88,-8.95,-7.49,-16.44,214,172334.27,
2024-06-28T15:30:31.625691665Z,-32,5559.16,5558.89,-8.64,-7.49,-16.13,215,177893.12,
2024-06-28T15:30:31.625726705Z,-33,5559.16,5558.90,-8.64,-7.49,-16.13,216,183452.28,
2024-06-28T15:30:31.655301367Z,-35,5559.15,5558.91,-8.31,-7.49,-15.2024-06-28T15:30:22.814273902Z,-72,5558.37,5558.49,8.44,-10.96,-2.52,216,400202.64,
2024-06-28T15:30:22.871362036Z,-73,5558.37,5558.49,8.44,-10.96,-2.52,217,405761.01,
2024-06-28T15:30:22.871605516Z,-74,5558.37,5558.48,8.44,-10.96,-2.52,218,411319.38,
2024-06-28T15:30:23.084311111Z,-75,5558.36,5558.48,9.18,-10.96,-1.78,219,416877.00,
2024-06-28T15:30:23.209284959Z,-76,5558.36,5558.48,9.18,-10.96,-1.78,220,422435.36,
2024-06-28T15:30:23.209345660Z,-77,5558.36,5558.48,9.18,-10.96,-1.78,221,427993.72,
2024-06-28T15:30:23.209395466Z,-78,5558.35,5558.48,9.95,-10.96,-1.01,222,433551.30,
2024-06-28T15:30:23.209561349Z,-79,5558.35,5558.48,9.95,-10.96,-1.01,223,439109.65,
2024-06-28T15:30:23.209561349Z,-80,5558.34,5558.47,10.74,-10.96,-0.22,224,444667.20,
2024-06-28T15:30:25.278877677Z,-78,5558.66,5558.47,-14.49,-11.33,-25.82,225,433575.48,
2024-06-28T15:30:25.278877677Z,-77,5558.67,5558.47,-15.07,-11.53,-26.60,226,428017.59,
2024-06-28T15:30:25.278903081Z,-76,5558.68,5558.47,-15.64,-11.73,-27.37,227,422459.68,
2024-06-28T15:30:25.278911432Z,-75,5558.69,5558.47,-16.18,-11.95,-28.13,228,416901.75,
2024-06-28T15:30:25.278932659Z,-74,5558.70,5558.47,-16.71,-12.17,-28.88,229,411343.80,
2024-06-28T15:30:25.279097108Z,-73,5558.71,5558.47,-17.21,-12.41,-29.62,230,405785.83,
2024-06-28T15:30:25.279097108Z,-72,5558.72,5558.47,-17.70,-12.65,-30.35,231,400227.84,
2024-06-28T15:30:25.279120091Z,-71,5558.73,5558.47,-18.16,-12.91,-31.07,232,394669.83,
2024-06-28T15:30:25.279120091Z,-70,5558.74,5558.47,-18.60,-13.18,-31.78,233,389111.80,
2024-06-28T15:30:55.505755386Z,-71,5558.34,5558.47,9.40,-13.18,-3.78,234,394642.14,
2024-06-28T15:30:55.505764300Z,-72,5558.33,5558.47,10.11,-13.18,-3.07,235,400199.76,
2024-06-28T15:30:55.505764300Z,-73,5558.33,5558.47,10.11,-13.18,-3.07,236,405758.09,
2024-06-28T15:30:55.505788542Z,-74,5558.32,5558.47,10.84,-13.18,-2.34,237,411315.68,
2024-06-28T15:30:55.505950006Z,-75,5558.32,5558.46,10.84,-13.18,-2.34,238,416874.00,
2024-02024-06-28T15:30:32.114277111Z,-66,5559.01,5558.99,-1.49,-7.49,-8.98,241,366894.66,
2024-06-28T15:30:32.114636438Z,-67,5559.01,5558.99,-1.49,-7.49,-8.98,242,372453.67,
2024-06-28T15:30:32.114738170Z,-68,5559.01,5558.99,-1.49,-7.49,-8.98,243,378012.68,
2024-06-28T15:31:41.282504783Z,-69,5560.53,5559.01,-104.85,-7.49,-112.34,244,383676.57,
2024-06-28T15:31:41.282504783Z,-70,5560.52,5559.03,-104.16,-7.49,-111.65,245,389236.40,
2024-06-28T15:31:41.282504783Z,-71,5560.51,5559.05,-103.46,-7.49,-110.95,246,394796.21,
2024-06-28T15:31:47.629171737Z,-72,5560.78,5559.08,-122.63,-7.49,-130.12,247,400376.16,
2024-06-28T15:31:47.629171737Z,-73,5560.77,5559.10,-121.91,-7.49,-129.40,248,405936.21,
2024-06-28T15:31:47.629171737Z,-74,5560.76,5559.12,-121.18,-7.49,-128.67,249,411496.24,
